"Date","Price","Open","High","Low","Vol.","Change %"
"22/06/2023","463.96","461.40","464.20","457.20","32.03M","0.33%"
"21/06/2023","462.43","457.72","465.32","453.95","29.48M","0.98%"
"20/06/2023","457.93","463.63","463.63","452.34","32.14M","-1.28%"
"16/06/2023","463.89","465.85","466.74","461.11","49.52M","-0.75%"
"15/06/2023","467.39","464.16","469.28","463.41","31.22M","0.38%"
"14/06/2023","465.63","472.28","478.16","461.02","38.66M","-0.89%"
"13/06/2023","469.83","451.51","470.12","451.51","46.78M","4.59%"
"12/06/2023","449.22","444.49","451.45","437.73","29.17M","0.88%"
"09/06/2023","445.28","447.76","449.41","443.13","34.85M","-0.55%"
"08/06/2023","447.76","448.51","453.40","443.18","30.04M","-0.03%"
"07/06/2023","447.91","442.35","452.30","442.35","39.45M","1.30%"
"06/06/2023","442.18","432.63","442.99","430.43","30.58M","2.10%"
"05/06/2023","433.10","435.09","438.29","424.97","33.56M","-0.46%"
"02/06/2023","435.09","415.27","437.48","415.27","57.08M","5.49%"
"01/06/2023","412.46","406.37","415.94","406.37","46.11M","1.53%"
"31/05/2023","406.23","407.20","407.59","398.98","61.67M","-0.49%"
"30/05/2023","408.22","416.93","416.93","404.93","36.21M","-2.13%"
"26/05/2023","417.11","411.21","420.08","411.21","38.25M","1.80%"
"25/05/2023","409.72","406.21","411.20","404.02","37.53M","0.94%"
"24/05/2023","405.92","418.67","418.67","404.23","43.05M","-3.30%"
"23/05/2023","419.78","424.07","424.07","413.71","34.15M","-1.91%"
"22/05/2023","427.94","427.50","431.02","426.19","22.98M","0.22%"
"19/05/2023","427.00","431.15","434.60","424.60","29.00M","-0.78%"
"18/05/2023","430.34","426.56","431.25","420.79","30.48M","0.37%"
"17/05/2023","428.74","424.55","431.42","423.95","39.01M","1.96%"
"16/05/2023","420.51","427.95","429.60","419.91","32.73M","-2.25%"
"15/05/2023","430.21","424.01","431.38","422.45","29.17M","1.94%"
"12/05/2023","422.01","419.69","423.48","418.44","30.93M","0.90%"
"11/05/2023","418.24","417.20","420.90","411.75","38.78M","-2.00%"
"10/05/2023","426.79","435.55","438.97","419.77","36.34M","-1.26%"
"09/05/2023","432.24","429.48","435.99","428.05","27.64M","-0.16%"
"08/05/2023","432.93","435.70","443.38","431.66","28.61M","-0.07%"
"05/05/2023","433.25","424.56","435.73","424.56","39.64M","2.85%"
"04/05/2023","421.25","436.70","437.32","418.68","48.35M","-3.76%"
"03/05/2023","437.71","441.86","447.40","437.25","41.68M","-0.84%"
"02/05/2023","441.42","447.07","447.07","432.67","43.03M","-1.60%"
"01/05/2023","448.60","450.67","455.38","446.83","33.29M","-0.41%"
"28/04/2023","450.45","447.77","450.57","443.71","39.47M","0.08%"
"27/04/2023","450.07","441.28","450.44","437.58","36.66M","2.10%"
"26/04/2023","440.82","448.51","450.47","438.71","35.98M","-1.64%"
"25/04/2023","448.17","465.43","465.43","447.12","57.28M","-4.56%"
"24/04/2023","469.57","468.20","469.79","464.30","38.46M","0.22%"
"21/04/2023","468.52","480.27","480.27","461.21","56.81M","-2.67%"
"20/04/2023","481.39","475.31","487.93","471.94","47.14M","1.20%"
"19/04/2023","475.69","485.22","485.22","474.96","37.13M","-2.13%"
"18/04/2023","486.05","477.05","486.46","477.05","34.25M","1.90%"
"17/04/2023","476.97","478.76","479.12","472.12","32.41M","-0.35%"
"14/04/2023","478.63","479.76","483.12","473.28","34.16M","-0.34%"
"13/04/2023","480.24","476.94","482.36","474.39","41.07M","1.60%"
"12/04/2023","472.68","477.70","480.20","471.34","32.73M","-0.74%"
"11/04/2023","476.19","471.62","480.08","471.62","33.89M","1.89%"
"10/04/2023","467.36","462.71","472.67","462.14","29.04M","1.00%"
"06/04/2023","462.74","459.75","464.88","453.43","31.32M","0.38%"
"05/04/2023","460.98","458.44","464.19","454.47","36.90M","-0.42%"
"04/04/2023","462.92","485.02","485.02","456.96","49.17M","-4.74%"
"03/04/2023","485.97","486.14","489.37","479.24","30.22M","0.21%"
"31/03/2023","484.95","478.31","486.34","478.11","32.79M","1.76%"
"30/03/2023","476.56","477.78","483.00","475.21","33.72M","1.16%"
"29/03/2023","471.09","471.21","473.39","467.36","35.38M","1.46%"
"28/03/2023","464.29","463.22","468.64","462.66","25.12M","0.23%"
"27/03/2023","463.24","463.94","467.22","457.36","35.91M","0.61%"
"24/03/2023","460.44","452.93","462.81","445.29","40.03M","0.45%"
"23/03/2023","458.37","461.67","473.75","453.52","40.19M","0.22%"
"22/03/2023","457.38","466.57","473.45","456.92","38.04M","-2.29%"
"21/03/2023","468.10","457.73","471.46","457.73","39.98M","2.60%"
"20/03/2023","456.22","446.17","460.12","446.17","46.17M","3.05%"
"17/03/2023","442.72","447.68","449.10","438.30","88.01M","-0.97%"
"16/03/2023","447.05","437.82","448.11","430.18","58.51M","1.56%"
"15/03/2023","440.18","472.47","472.47","432.78","78.73M","-7.74%"
"14/03/2023","477.11","481.87","487.79","471.00","43.17M","0.65%"
"13/03/2023","474.01","472.75","482.09","462.80","51.32M","-1.45%"
